"","geo_id","tract","tract_num","less10","10to19","20to29","30to39","40to59","60to89","90plus","total_outside","workedhome","total","avgcommute"
"159","08005007107","Census Tract 71.07, Arapahoe County, Colorado",7107,271,571,997,930,536,153,69,3527,249,3776,"29"
"160","08005007201","Census Tract 72.01, Arapahoe County, Colorado",7201,8,405,314,478,233,97,115,1650,24,1674,"35"
"161","08005007202","Census Tract 72.02, Arapahoe County, Colorado",7202,92,310,345,543,284,105,112,1791,110,1901,"35"
"162","08005007301","Census Tract 73.01, Arapahoe County, Colorado",7301,73,299,244,222,157,40,55,1090,47,1137,"29"
"163","08005007302","Census Tract 73.02, Arapahoe County, Colorado",7302,196,438,423,626,284,158,215,2340,36,2376,"35"
"164","08005007400","Census Tract 74, Arapahoe County, Colorado",7400,67,619,415,602,420,213,21,2357,64,2421,"29"
"165","08005007500","Census Tract 75, Arapahoe County, Colorado",7500,57,276,313,226,189,90,42,1193,19,1212,"29"
"166","08005007600","Census Tract 76, Arapahoe County, Colorado",7600,113,315,315,425,198,48,44,1458,49,1507,"28"
"167","08005007702","Census Tract 77.02, Arapahoe County, Colorado",7702,81,350,497,355,256,68,97,1704,171,1875,"30"
"168","08005007703","Census Tract 77.03, Arapahoe County, Colorado",7703,115,315,469,648,195,96,67,1905,74,1979,"31"
"169","08005007704","Census Tract 77.04, Arapahoe County, Colorado",7704,121,386,815,455,361,107,180,2425,50,2475,"33"
"170","08005015100","Census Tract 151, Arapahoe County, Colorado",15100,179,348,290,265,141,22,33,1278,150,1428,"23"
"171","08005080000","Census Tract 800, Arapahoe County, Colorado",80000,109,328,339,374,246,62,68,1526,1,1527,"29"
"172","08005080100","Census Tract 801, Arapahoe County, Colorado",80100,171,503,636,382,118,164,75,2049,109,2158,"28"
"173","08005080200","Census Tract 802, Arapahoe County, Colorado",80200,264,587,892,567,211,135,37,2693,111,2804,"25"
"174","08005080300","Census Tract 803, Arapahoe County, Colorado",80300,168,667,1261,539,273,81,16,3005,221,3226,"24"
"175","08005080400","Census Tract 804, Arapahoe County, Colorado",80400,162,427,1103,565,321,92,49,2719,159,2878,"27"
"176","08005080500","Census Tract 805, Arapahoe County, Colorado",80500,120,586,581,393,194,21,0,1895,160,2055,"22"
"177","08005080600","Census Tract 806, Arapahoe County, Colorado",80600,139,411,710,427,129,72,13,1901,90,1991,"24"
"178","08005080700","Census Tract 807, Arapahoe County, Colorado",80700,200,727,605,535,275,182,60,2584,82,2666,"27"
"179","08005080800","Census Tract 808, Arapahoe County, Colorado",80800,78,425,434,250,98,89,41,1415,29,1444,"27"
"180","08005080900","Census Tract 809, Arapahoe County, Colorado",80900,138,468,593,309,414,169,33,2124,88,2212,"29"
"181","08005081000","Census Tract 810, Arapahoe County, Colorado",81000,167,627,671,414,374,72,12,2337,37,2374,"25"
"182","08005081100","Census Tract 811, Arapahoe County, Colorado",81100,253,494,834,565,541,263,26,2976,22,2998,"30"
"183","08005081200","Census Tract 812, Arapahoe County, Colorado",81200,337,572,423,455,228,89,38,2142,118,2260,"25"
"184","08005081300","Census Tract 813, Arapahoe County, Colorado",81300,37,284,255,483,236,144,75,1514,43,1557,"35"
"185","08005081400","Census Tract 814, Arapahoe County, Colorado",81400,27,562,474,306,129,67,44,1609,50,1659,"25"
"186","08005081500","Census Tract 815, Arapahoe County, Colorado",81500,30,153,187,112,59,0,0,541,78,619,"23"
"187","08005081600","Census Tract 816, Arapahoe County, Colorado",81600,130,580,638,431,332,103,61,2275,66,2341,"27"
"188","08005081700","Census Tract 817, Arapahoe County, Colorado",81700,132,231,340,309,208,157,13,1390,146,1536,"30"
"189","08005081800","Census Tract 818, Arapahoe County, Colorado",81800,100,544,596,614,355,157,155,2521,21,2542,"33"
"190","08005081900","Census Tract 819, Arapahoe County, Colorado",81900,218,750,464,540,303,221,156,2652,70,2722,"32"
"191","08005082000","Census Tract 820, Arapahoe County, Colorado",82000,68,616,554,439,320,111,32,2140,35,2175,"28"
"192","08005082100","Census Tract 821, Arapahoe County, Colorado",82100,169,809,780,777,488,203,66,3292,78,3370,"28"
"193","08005082200","Census Tract 822, Arapahoe County, Colorado",82200,81,995,741,527,402,210,0,2956,129,3085,"25"
"194","08005082300","Census Tract 823, Arapahoe County, Colorado",82300,75,434,564,535,154,108,33,1903,16,1919,"28"
"195","08005082400","Census Tract 824, Arapahoe County, Colorado",82400,92,581,453,492,264,189,26,2097,45,2142,"29"
"196","08005082500","Census Tract 825, Arapahoe County, Colorado",82500,53,256,305,302,183,62,4,1165,52,1217,"27"
