id,geoid10,nhid,nhname,createdAt,updatedAt
249,8007940400,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
250,8007974200,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
251,8007974300,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
252,8007974400,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
253,8009964600,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
254,8009964700,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
255,8011966700,,,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
256,8013012101,308,"'"Mapleton Hill",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
257,8013012102,311,Old North Boulder,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
258,8013012103,157,"'"Wonderland",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
259,8013012104,157,"'"Wonderland",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
260,8013012105,157,"'"Wonderland",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
261,8013012201,307,Flatirons and Grant,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
262,8013012202,309,Whittier(Boulder County),2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
263,8013012203,185,"'"Kings Ridge",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
265,8013012300,179,CU Main Campus,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
266,8013012401,310,University Hills(Boulder County),2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
267,8013012501,184,Southeast Boulder,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
268,8013012505,306,"'"Chautauqua",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
269,8013012507,165,"'"Martin Acres",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
270,8013012508,165,"'"Martin Acres",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
271,8013012509,306,"'"Chautauqua",2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
272,8013012510,178,Nederland and Boulder Mountain Park,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
273,8013012511,184,Southeast Boulder,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
274,8013012603,184,Southeast Boulder,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
275,8013012605,180,CU East Campus,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
276,8013012607,184,Southeast Boulder,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
277,8013012608,184,Southeast Boulder,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
278,8013012701,181,West Boulder including Ward and Jamestown,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
279,8013012705,187,Gunbarrel,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
280,8013012707,177,Boulder Municipal Airport,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
281,8013012708,187,Gunbarrel,2018-05-31 17:57:40.942+00,2018-05-31 17:57:40.942+00
