nhid,dist,sch_cd,School_Name,Lowest_Grade,Highest_Grade,COUNTY,geometry
139,dist2,3216,FREMONT ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000C86471FF91485AC0A8F8BF232AE84340
139,dist3,9058,VANDERHOOF ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000D815FA6019485AC0B0471ADCD6E64340
14,dist1,8776,TELLER ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,01010000007869C361693C5AC04041D47D00DE4340
14,dist2,1846,COLUMBINE ELEMENTARY SCHOOL,Preschool,5th Grade,DENVER,010100000084BA48A12C3D5AC090D2DEE00BE14340
14,dist3,6754,PARK HILL SCHOOL,Preschool,5th Grade,DENVER,01010000001C9FC9FE793B5AC050DD5CFC6DDF4340
140,dist1,9052,VAN ARSDALE ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,01010000008CDB68006F495AC040AAEFFCA2EA4340
140,dist2,5758,MEIKLEJOHN ELEMENTARY,Preschool,6th Grade,JEFFERSON,0101000000B01666A19D495AC0609DD5027BEC4340
140,dist3,8300,STOTT ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000A48CB80034495AC0209FC9FE79E84340
141,dist1,5222,LITTLE ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000347A354069445AC0285454FD4AED4340
141,dist2,6806,PARR ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,01010000005C76887FD8435AC0282F3201BFEC4340
141,dist3,8834,THOMSON ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000107EE200FA435AC0C0490C022BEB4340
143,dist1,8793,TWO ROADS CHARTER SCHOOL,Preschool,12th Grade,JEFFERSON,0101000000108733BF9A445AC02844C02154E94340
143,dist2,3726,HACKBERRY HILL ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000C42E8A1EF8445AC038478FDFDBEA4340
143,dist3,2189,DORAL ACADEMY OF COLORADO,Kindergarten,7th Grade,JEFFERSON,010100000038ADA23F34455AC030D4282499E94340
144,dist1,7708,SECREST ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,010100000060AC36FFAF445AC0A0232BBF0CE84340
144,dist2,8793,TWO ROADS CHARTER SCHOOL,Preschool,12th Grade,JEFFERSON,0101000000108733BF9A445AC02844C02154E94340
144,dist3,8432,SWANSON ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000E8909BE106445AC0B84C86E3F9E84340
145,dist1,3088,FOSTER ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000D088D2DEE0445AC0D833846396E54340
145,dist2,7708,SECREST ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,010100000060AC36FFAF445AC0A0232BBF0CE84340
145,dist3,5024,LAWRENCE ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,010100000014AE47E17A455AC0E84B6F7F2EE64340
146,dist1,6828,PECK ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,010100000070E5EC9DD1455AC070300DC347E84340
146,dist2,2946,FITZMORRIS ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000B40D6ABFB5465AC0004E2844C0E74340
146,dist3,2189,DORAL ACADEMY OF COLORADO,Kindergarten,7th Grade,JEFFERSON,010100000038ADA23F34455AC030D4282499E94340
147,dist1,9232,WARDER ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000C4793881E9455AC08072DBBE47EB4340
147,dist2,9328,WEBER ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000104E0B5EF4455AC0202FA4C343EC4340
147,dist3,3726,HACKBERRY HILL ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000C42E8A1EF8445AC038478FDFDBEA4340
148,dist1,9328,WEBER ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000104E0B5EF4455AC0202FA4C343EC4340
148,dist2,9232,WARDER ELEMENTARY SCHOOL,Preschool,6th Grade,JEFFERSON,0101000000C4793881E9455AC08072DBBE47EB4340
148,dist3,5222,LITTLE ELEMENTARY SCHOOL,Kindergarten,6th Grade,JEFFERSON,0101000000347A354069445AC0285454FD4AED4340
15,dist1,9548,WHITTIER K-8 SCHOOL,Preschool,8th Grade,DENVER,010100000040F295404A3E5AC0E0A9B9DC60E04340
15,dist2,2027,POLARIS AT EBERT ELEMENTARY SCHOOL,Kindergarten,5th Grade,DENVER,0101000000149337C0CC3E5AC0E81E12BEF7DF4340
15,dist3,3426,GILPIN MONTESSORI PUBLIC SCHOOL,Preschool,6th Grade,DENVER,010100000014CC5F21733E5AC0B0EFFCA204E14340
150,dist1,5934,MISSION VIEJO ELEMENTARY SCHOOL,Preschool,5th Grade,ARAPAHOE,0101000000180BD12170335AC0C04082E2C7D24340
